(leave this row),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIT FIELD,SIZE,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isize,2,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
iaddr,3,NXT,BRX,JMP,RTS,RTI,IND,BRK,RSVD,,,,,,,,,,,,,,,,,,,,,,
bfsel,2,C,Z,V,N,,,,,,,,,,,,,,,,,,,,,,,,,,
sdelta,3,0,P1,P2,P3,RSVD,N3,N2,N1,,,,,,,,,,,,,,,,,,,,,,
dop,2,NOP,R,W,RMW,,,,,,,,,,,,,,,,,,,,,,,,,,
daddr,4,IMM,PULL,PUSH1,PUSH2,PUSH3,PUSH4,ZP,ZP_X,ZP_Y,ABS,ABS_X,ABS_Y,IIX,IIY,RSVD1,RSVD2,,,,,,,,,,,,,,
dsize,2,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
wdata,3,RMW,A,X,Y,P,JSR,BRK,RSVD,,,,,,,,,,,,,,,,,,,,,,
sreg,2,A,X,Y,RSVD,,,,,,,,,,,,,,,,,,,,,,,,,,
incdec,1,INC,DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addsub,1,ADD,SUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logic,2,AND,OR,EOR,RSVD,,,,,,,,,,,,,,,,,,,,,,,,,,
shift,2,ASL,LSR,ROL,ROR,,,,,,,,,,,,,,,,,,,,,,,,,,
rmw,1,ID,SHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reg_a,3,NOP,IMM,MEM,ADD,LOG,SHF,TXA,TYA,,,,,,,,,,,,,,,,,,,,,,
reg_x,3,NOP,IMM,MEM,INX,DEX,TAX,TSX,RSVD,,,,,,,,,,,,,,,,,,,,,,
reg_y,3,NOP,IMM,MEM,INY,DEY,TAY,RSVD1,RSVD2,,,,,,,,,,,,,,,,,,,,,,
flag_c,3,NOP,CLR,SET,ADD,SHF,RSVD1,RSVD2,RSVD3,,,,,,,,,,,,,,,,,,,,,,
flag_zn,3,NOP,ADD,RMW,A,X,Y,BIT,RSVD,,,,,,,,,,,,,,,,,,,,,,
flag_i,2,NOP,CLR,SET,BRK,,,,,,,,,,,,,,,,,,,,,,,,,,
flag_d,2,NOP,CLR,SET,BRK,,,,,,,,,,,,,,,,,,,,,,,,,,
flag_v,2,NOP,CLR,ADD,BIT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIT FIELD/SIZE =>,,valid,fast,isize,iaddr,branch,bfsel,bfval,sdelta,dop,daddr,zpx,dsize,wdata,sreg,cmp,incdec,addsub,logic,shift,rmw,reg_s,reg_p,reg_a,reg_x,reg_y,flag_c,flag_zn,flag_i,flag_d,flag_v
NMEMONIC,OPCODE,1,1,2,3,1,2,1,3,2,4,1,2,3,2,1,1,1,2,2,1,1,1,3,3,3,3,3,2,2,2
ADC_abs,109,x,x,3,.,.,.,.,.,R,ABS,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_abs_X,125,x,x,3,.,.,.,.,.,R,ABS_X,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_abs_Y,121,x,x,3,.,.,.,.,.,R,ABS_Y,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_idx_ind,97,x,x,2,.,.,.,.,.,R,IIX,x,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_imm,105,x,x,2,.,.,.,.,.,.,.,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_ind_idx,113,x,x,2,.,.,.,.,.,R,IIY,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_zp,101,x,x,2,.,.,.,.,.,R,ZP,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
ADC_zp_X,117,x,x,2,.,.,.,.,.,R,ZP_X,.,1,.,A,.,.,ADD,.,.,.,.,.,ADD,.,.,ADD,ADD,.,.,ADD
AND_abs,45,x,x,3,.,.,.,.,.,R,ABS,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_abs_X,61,x,x,3,.,.,.,.,.,R,ABS_X,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_abs_Y,57,x,x,3,.,.,.,.,.,R,ABS_Y,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_idx_ind,33,x,x,2,.,.,.,.,.,R,IIX,x,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_imm,41,x,x,2,.,.,.,.,.,R,.,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_ind_idx,49,x,x,2,.,.,.,.,.,R,IIY,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_zp,37,x,x,2,.,.,.,.,.,R,ZP,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
AND_zp_X,53,x,x,2,.,.,.,.,.,R,ZP_X,.,1,.,.,.,.,.,AND,.,.,.,.,LOG,.,.,.,A,.,.,.
ASL_A,10,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,ASL,.,.,.,SHF,.,.,SHF,A,.,.,.
ASL_abs,14,x,.,3,.,.,.,.,.,RMW,ABS,.,1,RMW,.,.,.,.,.,ASL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
ASL_abs_X,30,x,.,3,.,.,.,.,.,RMW,ABS_X,.,1,RMW,.,.,.,.,.,ASL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
ASL_zp,6,x,x,2,.,.,.,.,.,W,ZP,.,1,RMW,.,.,.,.,.,ASL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
ASL_zp_X,22,x,x,2,.,.,.,.,.,W,ZP_X,x,1,RMW,.,.,.,.,.,ASL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
BCC_rel,144,x,x,2,BRX,x,C,0,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BCS_rel,176,x,x,2,BRX,x,C,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BEQ_rel,240,x,x,2,BRX,x,Z,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BIT_abs,44,x,x,3,.,.,.,.,.,R,ABS,.,1,.,.,.,.,.,AND,.,.,.,.,.,.,.,.,BIT,.,.,BIT
BIT_zp,36,x,x,2,.,.,.,.,.,R,ZP,.,1,.,.,.,.,.,AND,.,.,.,.,.,.,.,.,BIT,.,.,BIT
BMI_rel,48,x,x,2,BRX,x,N,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BNE_rel,208,x,x,2,BRX,x,Z,0,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BPL_rel,16,x,x,2,BRX,x,N,0,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BRK_imp,0,x,x,2,BRK,.,.,.,N3,W,PUSH3,.,3,BRK,.,.,.,.,.,.,.,.,.,.,.,.,.,.,BRK,.,.
BVC_rel,80,x,x,2,BRX,x,V,0,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BVS_rel,112,x,x,2,BRX,x,V,1,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
CLC_imp,24,x,x,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CLR,.,.,.,.
CLD_imp,216,x,x,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CLR,.
CLI_imp,88,x,x,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CLR,.,.
CLV_imp,184,x,x,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,CLR
CMP_abs,205,x,x,3,.,.,.,.,.,R,ABS,.,1,.,A,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CMP_abs_X,221,x,x,3,.,.,.,.,.,R,ABS_X,.,1,.,A,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CMP_abs_Y,217,x,x,3,.,.,.,.,.,R,ABS_Y,.,1,.,A,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CMP_idx_ind,193,x,x,2,.,.,.,.,.,R,IIX,x,1,.,A,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CMP_imm,201,x,x,2,.,.,.,.,.,.,.,.,1,.,A,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CMP_ind_idx,209,x,x,2,.,.,.,.,.,R,IIY,.,1,.,A,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CMP_zp,197,x,x,2,.,.,.,.,.,R,ZP,.,1,.,A,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CMP_zp_X,213,x,x,2,.,.,.,.,.,R,ZP_X,.,1,.,A,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CPX_abs,236,x,x,3,.,.,.,.,.,R,ABS,.,1,.,X,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CPX_imm,224,x,x,2,.,.,.,.,.,R,.,.,1,.,X,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CPX_zp,228,x,x,2,.,.,.,.,.,R,ZP,.,1,.,X,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CPY_abs,204,x,x,3,.,.,.,.,.,R,ABS,.,1,.,Y,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CPY_imm,192,x,x,2,.,.,.,.,.,.,.,.,1,.,Y,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
CPY_zp,196,x,x,2,.,.,.,.,.,R,ZP,.,1,.,Y,x,.,SUB,.,.,.,.,.,.,.,.,ADD,ADD,.,.,.
DEC_abs,206,x,.,3,.,.,.,.,.,RMW,ABS,.,1,RMW,.,.,DEC,.,.,.,ID,.,.,.,.,.,.,RMW,.,.,.
DEC_abs_X,222,x,.,3,.,.,.,.,.,RMW,ABS_X,.,1,RMW,.,.,DEC,.,.,.,ID,.,.,.,.,.,.,RMW,.,.,.
DEC_zp,198,x,x,2,.,.,.,.,.,W,ZP,.,1,RMW,.,.,DEC,.,.,.,ID,.,.,.,.,.,.,RMW,.,.,.
DEC_zp_X,214,x,x,2,.,.,.,.,.,W,ZP_X,x,1,RMW,.,.,DEC,.,.,.,ID,.,.,.,.,.,.,RMW,.,.,.
DEX_imp,202,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,DEC,.,.,.,.,.,.,.,DEX,.,.,X,.,.,.
DEY_imp,136,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,DEC,.,.,.,.,.,.,.,.,DEY,.,Y,.,.,.
EOR_abs,77,x,x,3,.,.,.,.,.,R,ABS,.,1,.,.,.,.,.,EOR,.,.,.,.,LOG,.,.,.,A,.,.,.
EOR_abs_X,93,x,x,3,.,.,.,.,.,R,ABS_X,.,1,.,.,.,.,.,EOR,.,.,.,.,LOG,.,.,.,A,.,.,.
EOR_abs_Y,89,x,x,3,.,.,.,.,.,R,ABS_Y,.,1,.,.,.,.,.,EOR,.,.,.,.,LOG,.,.,.,A,.,.,.
EOR_idx_ind,65,x,x,2,.,.,.,.,.,R,IIX,x,1,.,.,.,.,.,EOR,.,.,.,.,LOG,.,.,.,A,.,.,.
EOR_imm,73,x,x,2,.,.,.,.,.,.,.,.,1,.,.,.,.,.,EOR,.,.,.,.,LOG,.,.,.,A,.,.,.
EOR_ind_idx,81,x,x,2,.,.,.,.,.,R,IIY,.,1,.,.,.,.,.,EOR,.,.,.,.,LOG,.,.,.,A,.,.,.
EOR_zp,69,x,x,2,.,.,.,.,.,R,ZP,.,1,.,.,.,.,.,EOR,.,.,.,.,LOG,.,.,.,A,.,.,.
EOR_zp_X,85,x,x,2,.,.,.,.,.,R,ZP_X,.,1,.,.,.,.,.,EOR,.,.,.,.,LOG,.,.,.,A,.,.,.
INC_abs,238,x,.,3,.,.,.,.,.,RMW,ABS,.,1,RMW,.,.,INC,.,.,.,ID,.,.,.,.,.,.,RMW,.,.,.
INC_abs_X,254,x,.,3,.,.,.,.,.,RMW,ABS_X,.,1,RMW,.,.,INC,.,.,.,ID,.,.,.,.,.,.,RMW,.,.,.
INC_zp,230,x,x,2,.,.,.,.,.,W,ZP,.,1,RMW,.,.,INC,.,.,.,ID,.,.,.,.,.,.,RMW,.,.,.
INC_zp_X,246,x,x,2,.,.,.,.,.,W,ZP_X,x,1,RMW,.,.,INC,.,.,.,ID,.,.,.,.,.,.,RMW,.,.,.
INX_imp,232,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,INC,.,.,.,.,.,.,.,INX,.,.,X,.,.,.
INY_imp,200,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,INC,.,.,.,.,.,.,.,.,INY,.,Y,.,.,.
JMP_abs,76,x,x,3,JMP,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
JMP_ind,108,x,.,3,IND,.,.,.,.,R,ABS,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
JSR_abs,32,x,x,3,JMP,.,.,.,N2,W,PUSH2,.,2,JSR,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LDA_abs,173,x,x,3,.,.,.,.,.,R,ABS,.,1,.,.,.,.,.,.,.,.,.,.,MEM,.,.,.,A,.,.,.
LDA_abs_X,189,x,x,3,.,.,.,.,.,R,ABS_X,.,1,.,.,.,.,.,.,.,.,.,.,MEM,.,.,.,A,.,.,.
LDA_abs_Y,185,x,x,3,.,.,.,.,.,R,ABS_Y,.,1,.,.,.,.,.,.,.,.,.,.,MEM,.,.,.,A,.,.,.
LDA_idx_ind,161,x,x,2,.,.,.,.,.,R,IIX,x,1,.,.,.,.,.,.,.,.,.,.,MEM,.,.,.,A,.,.,.
LDA_imm,169,x,x,2,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,IMM,.,.,.,A,.,.,.
LDA_ind_idx,177,x,x,2,.,.,.,.,.,R,IIY,.,1,.,.,.,.,.,.,.,.,.,.,MEM,.,.,.,A,.,.,.
LDA_zp,165,x,x,2,.,.,.,.,.,R,ZP,.,1,.,.,.,.,.,.,.,.,.,.,MEM,.,.,.,A,.,.,.
LDA_zp_X,181,x,x,2,.,.,.,.,.,R,ZP_X,.,1,.,.,.,.,.,.,.,.,.,.,MEM,.,.,.,A,.,.,.
LDX_abs,174,x,x,3,.,.,.,.,.,R,ABS,.,1,.,.,.,.,.,.,.,.,.,.,.,MEM,.,.,X,.,.,.
LDX_abs_Y,190,x,x,3,.,.,.,.,.,R,ABS_Y,.,1,.,.,.,.,.,.,.,.,.,.,.,MEM,.,.,X,.,.,.
LDX_imm,162,x,x,2,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,IMM,.,.,X,.,.,.
LDX_zp,166,x,x,2,.,.,.,.,.,R,ZP,.,1,.,.,.,.,.,.,.,.,.,.,.,MEM,.,.,X,.,.,.
LDX_zp_Y,182,x,x,2,.,.,.,.,.,R,ZP_Y,.,1,.,.,.,.,.,.,.,.,.,.,.,MEM,.,.,X,.,.,.
LDY_abs,172,x,x,3,.,.,.,.,.,R,ABS,.,1,.,.,.,.,.,.,.,.,.,.,.,.,MEM,.,Y,.,.,.
LDY_abs_X,188,x,x,3,.,.,.,.,.,R,ABS_X,.,1,.,.,.,.,.,.,.,.,.,.,.,.,MEM,.,Y,.,.,.
LDY_imm,160,x,x,2,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,IMM,.,Y,.,.,.
LDY_zp,164,x,x,2,.,.,.,.,.,R,ZP,.,1,.,.,.,.,.,.,.,.,.,.,.,.,MEM,.,Y,.,.,.
LDY_zp_X,180,x,x,2,.,.,.,.,.,R,ZP_X,.,1,.,.,.,.,.,.,.,.,.,.,.,.,MEM,.,Y,.,.,.
LSR_A,74,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,LSR,.,.,.,SHF,.,.,SHF,A,.,.,.
LSR_abs,78,x,.,3,.,.,.,.,.,RMW,ABS,.,1,RMW,.,.,.,.,.,LSR,SHF,.,.,.,.,.,SHF,RMW,.,.,.
LSR_abs_X,94,x,.,3,.,.,.,.,.,RMW,ABS_X,.,1,RMW,.,.,.,.,.,LSR,SHF,.,.,.,.,.,SHF,RMW,.,.,.
LSR_zp,70,x,x,2,.,.,.,.,.,W,ZP,.,1,RMW,.,.,.,.,.,LSR,SHF,.,.,.,.,.,SHF,RMW,.,.,.
LSR_zp_X,86,x,x,2,.,.,.,.,.,W,ZP_X,x,1,RMW,.,.,.,.,.,LSR,SHF,.,.,.,.,.,SHF,RMW,.,.,.
NOP_imp,234,x,x,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ORA_abs,13,x,x,3,.,.,.,.,.,R,ABS,.,1,.,.,.,.,.,OR,.,.,.,.,LOG,.,.,.,A,.,.,.
ORA_abs_X,29,x,x,3,.,.,.,.,.,R,ABS_X,.,1,.,.,.,.,.,OR,.,.,.,.,LOG,.,.,.,A,.,.,.
ORA_abs_Y,25,x,x,3,.,.,.,.,.,R,ABS_Y,.,1,.,.,.,.,.,OR,.,.,.,.,LOG,.,.,.,A,.,.,.
ORA_idx_ind,1,x,x,2,.,.,.,.,.,R,IIX,x,1,.,.,.,.,.,OR,.,.,.,.,LOG,.,.,.,A,.,.,.
ORA_imm,9,x,x,2,.,.,.,.,.,.,.,.,1,.,.,.,.,.,OR,.,.,.,.,LOG,.,.,.,A,.,.,.
ORA_ind_idx,17,x,x,2,.,.,.,.,.,R,IIY,.,1,.,.,.,.,.,OR,.,.,.,.,LOG,.,.,.,A,.,.,.
ORA_zp,5,x,x,2,.,.,.,.,.,R,ZP,.,1,.,.,.,.,.,OR,.,.,.,.,LOG,.,.,.,A,.,.,.
ORA_zp_X,21,x,x,2,.,.,.,.,.,R,ZP_X,.,1,.,.,.,.,.,OR,.,.,.,.,LOG,.,.,.,A,.,.,.
PHA_imp,72,x,x,1,.,.,.,.,N1,W,PUSH1,.,1,A,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PHP_imp,8,x,x,1,.,.,.,.,N1,W,PUSH1,.,1,P,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PLA_imp,104,x,x,1,.,.,.,.,P1,R,PULL,.,1,.,.,.,.,.,.,.,.,.,.,MEM,.,.,.,A,.,.,.
PLP_imp,40,x,x,1,.,.,.,.,P1,R,PULL,.,1,.,.,.,.,.,.,.,.,.,x,.,.,.,.,.,.,.,.
ROL_A,42,x,x,1,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,ROL,.,.,.,SHF,.,.,SHF,A,.,.,.
ROL_abs,46,x,.,3,.,.,.,.,.,RMW,ABS,.,1,RMW,.,.,.,.,.,ROL,SHF,.,.,.,.,.,SHF,RMW,.,.,.
